総合判定,台数判定,容量判定,名称判定,機器ID照合,判定理由,機器ID,機器表 記載名,盤表 記載名,機器表 台数,盤表 台数,台数差,機器表 消費電力(kW),機器表 モード容量(kW),機器表 判定モード,機器表 判定採用容量(kW),容量判定補足,盤表 容量(kW),容量差(kW),機器表 図面番号,盤表 図面番号,盤表 記載トレース
✗,✗,✗,✗,✗,盤表に記載なし,PAC-12-6,空調機/空冷HPパッケージ/マルチタイプ,,2,0,-2,0.03,,単一値,0.03,単一数値を採用,,,M-03-05,,
✗,✗,◯,✗,◯,台数差分=1,PAC-13,空調機/空冷HPパッケージ/マルチタイプ,空調室外機,1,2,1,(冷)7.42 / (暖)7.73 / (低温)8.6,"冷=7.42,暖=7.73,低温=8.6",最大値(低温),8.6,機器名称からモード特定不可のため最大値を採用,8.6,0,M-03-05,"E-025,E-044",図面:E-025 名称:空調室外機 容量:8.6 || 図面:E-044 名称:空調室外機 容量:8.6
✗,✗,✗,✗,✗,盤表に記載なし,PAC-13-1,空調機/空冷HPパッケージ/マルチタイプ,,1,0,-1,0.07,,単一値,0.07,単一数値を採用,,,M-03-05,,
✗,✗,✗,✗,✗,盤表に記載なし,PAC-13-2,空調機/空冷HPパッケージ/マルチタイプ,,2,0,-2,0.03,,単一値,0.03,単一数値を採用,,,M-03-05,,
✗,✗,✗,✗,✗,盤表に記載なし,PAC-13-3,空調機/空冷HPパッケージ/マルチタイプ,,1,0,-1,0.05,,単一値,0.05,単一数値を採用,,,M-03-05,,
✗,✗,✗,✗,✗,盤表に記載なし,PAC-13-4,空調機/空冷HPパッケージ/マルチタイプ,,1,0,-1,0.03,,単一値,0.03,単一数値を採用,,,M-03-05,,
✗,✗,✗,✗,✗,盤表に記載なし,PAC-13-5,空調機/空冷HPパッケージ/マルチタイプ,,1,0,-1,0.05,,単一値,0.05,単一数値を採用,,,M-03-05,,
✗,✗,✗,✗,◯,台数差分=1,PAC-14,空調機/空冷HPパッケージ/マルチタイプ,空調室外機,1,2,1,(冷)5.11 / (暖)5.46 / (低温)6.3,"冷=5.11,暖=5.46,低温=6.3",最大値(低温),6.3,機器名称からモード特定不可のため最大値を採用,8.6,2.3,M-03-05,"E-025,E-044",図面:E-025 名称:空調室外機 容量:8.6 || 図面:E-044 名称:空調室外機 容量:8.6
✗,✗,✗,✗,✗,盤表に記載なし,PAC-14-1,空調機1/空冷HPパッケージ/マルチタイプ,,2,0,-2,0.05,,単一値,0.05,単一数値を採用,,,M-03-05,,
✗,✗,✗,✗,✗,盤表に記載なし,PAC-14-2,空調機/空冷HPパッケージ/マルチタイプ,,1,0,-1,0.05,,単一値,0.05,単一数値を採用,,,M-03-06,,
✗,✗,✗,✗,✗,盤表に記載なし,PAC-14-3,空調機/空冷HPパッケージ/マルチタイプ,,1,0,-1,0.05,,単一値,0.05,単一数値を採用,,,M-03-06,,
✗,✗,✗,✗,◯,台数差分=1,PAC-15,空調機/空冷HPパッケージ/店舗用(同時ツイン),空調室外機,1,2,1,(冷)6.1,冷=6.1,冷,6.1,モード容量1候補のため(冷)を採用,9,2.9,M-03-06,"E-025,E-041",図面:E-025 名称:空調室外機 容量:9.0 || 図面:E-041 名称:空調室外機 容量:9.0
✗,✗,✗,✗,✗,盤表に記載なし,PAC-15-1,空調機店舗用(同時ツイン),,,0,,,,,,,,,M-03-06,,
✗,✗,✗,✗,✗,盤表に記載なし,VR-1,レンジフード,,86,0,-86,,,,,,,,M-03-07,,
✗,✗,✗,✗,✗,盤表に記載なし,BD-1,浴室換気乾燥機,,9,0,-9,,,,,,,,M-03-07,,
✗,✗,✗,✗,✗,盤表に記載なし,HEX-1,全熱交換機,,9,0,-9,,,,,,,,M-03-07,,
✗,✗,✗,✗,✗,盤表に記載なし,HEX-2,全熱交換機,,27,0,-27,,,,,,,,M-03-07,,
✗,✗,✗,✗,✗,盤表に記載なし,VF-1,天井扇,,10,0,-10,,,,,,,,M-03-07,,
✗,✗,✗,✗,✗,盤表に記載なし,ORC-1,ルームエアコンマルチタイプ,,9,0,-9,,,,,,,,M-03-07,,
✗,✗,✗,✗,✗,盤表に記載なし,ORC-2,ルームエアコンマルチタイプ,,6,0,-6,,,,,,,,M-03-07,,
✗,✗,✗,✗,✗,盤表に記載なし,ORC-3,マルチタイプ,,5,0,-5,,,,,,,,M-03-07,,
✗,✗,✗,✗,✗,盤表に記載なし,ORC-4,ルームエアコンマルチタイプ,,,0,,,,,,,,,M-03-07,,
✗,✗,✗,✗,✗,盤表に記載なし,ORC-5,ルームエアコンマルチタイプ,,3,0,-3,,,,,,,,M-03-07,,
✗,✗,✗,✗,✗,盤表に記載なし,ORC-6,ルームエアコン,,,0,,,,,,,,,M-03-07,,
✗,✗,✗,✗,✗,盤表に記載なし,ORC-7,マルチタイプルームエアコン,,60,0,-60,,,,,,,,M-03-07,,
✗,✗,✗,✗,✗,盤表に記載なし,ORC-8,マルチタイプルームエアコン,,12,0,-12,,,,,,,,M-03-07,,
✗,✗,✗,✗,✗,盤表に記載なし,ORC-9,ルームエアコンマルチタイプ,,27,0,-27,,,,,,,,M-03-07,,
✗,✗,✗,✗,✗,盤表に記載なし,IRC-1,ルームエアコン,,36,0,-36,,,,,,,,M-03-07,,
✗,✗,✗,✗,✗,盤表に記載なし,IRC-2,マルチタイプルームエアコン,,96,0,-96,,,,,,,,M-03-07,,
✗,✗,✗,✗,✗,盤表に記載なし,IRC-3,ルームエアコンマルチタイプ,,41,0,-41,,,,,,,,M-03-07,,
✗,✗,✗,✗,✗,盤表に記載なし,IRC-4,ルームエアコンマルチタイプ,,11,0,-11,,,,,,,,M-03-07,,
✗,✗,✗,✗,✗,盤表に記載なし,IRC-5,ルームエアコン,,5,0,-5,,,,,,,,M-03-07,,
✗,✗,✗,✗,✗,盤表に記載なし,IRC-6,マルチタイプルームエアコン,,40,0,-40,,,,,,,,M-03-07,,
✗,✗,✗,✗,✗,盤表に記載なし,RC-1～3,欠番,,,0,,,,,,,,,M-03-07,,
✗,✗,✗,✗,✗,盤表に記載なし,RC-4,ルームエアコン,,16,0,-16,,,,,,,,M-03-07,,
✗,✗,✗,✗,✗,盤表に記載なし,RC-5,ルームエアコン,,1,0,-1,,,,,,,,M-03-07,,
✗,✗,✗,✗,✗,盤表に記載なし,RC-6,ルームエアコン,,1,0,-1,,,,,,,,M-03-07,,
✗,✗,✗,✗,✗,盤表に記載なし,RC-7,ルームエアコン,,14,0,-14,,,,,,,,M-03-07,,
✗,✗,✗,✗,✗,盤表に記載なし,RC-8,ルームエアコン室外機2段積架台,,22,0,-22,,,,,,,,M-03-07,,
